num,street,type,City,Zip,Page,lat,lng,Address
345,Briar Cliff,Road,Lampe ,65681,8,36.57160914,-93.47751822,345 Briar Cliff Rd
19,Dapple,Lane,Blue Eye,65611,8,36.53434785,-93.32967529,19 DappleLn
345,Labradore,Lane,,65681,8,,,345 Labrador Ln
345,Labradore,Lane,,65681,8,,,345 Labrador Ln
355,Mayflower,Drive,Lampe ,65681,8,36.6026193,-93.49420517,355 Mayflower Dr
355,Mayflower,Drive,Lampe ,65681,8,36.6026193,-93.49420517,355 Mayflower Dr
1661,MO H,,Lampe ,65681,8,36.5732983,-93.45964121,1661 State Hwy H
491,Trellis,Drive,Lampe ,65681,8,36.53674495,-93.48468925,491 Trellis Dr
724,Will,Road,Lampe ,65681,8,36.54037129,-93.43913056,724 Will Rd
724,Will,Road,Lampe ,65681,8,36.54037129,-93.43913056,724 Will Rd
418,Briar Cliff,Road,Lampe ,65681,9,36.57141376,-93.47735092,418 Briar Cliff Rd
172,Indian Cove,Drive,Lampe ,65681,9,36.56656774,-93.47799578,172 Indian Cove Rd
211,Indian Cove,Drive,Lampe ,65681,9,36.567687,-93.478501,211 Indian Cove 
211,Indian Cove,Drive,Lampe ,65681,9,36.567687,-93.478501,211 Indian Cove 
56,Lois,Lane,Lampe ,65681,9,36.56666409,-93.47594705,56 Lois Lane
56,Lois,Lane,Lampe ,65681,9,36.56666409,-93.47594705,56 Lois Lane
59,Lois,Lane,Lampe ,65681,9,36.56683309,-93.47593344,59 Lois Ln
,PO Box,Lane,Kimberling City,65686,9,36.6303926,-93.4231488,P. O. Box 253
74,W View,Drive,Lampe ,65681,9,36.56770332,-93.47626425,74 West View Dr
74,W View,Drive,Lampe ,65681,9,36.56770332,-93.47626425,74 West View Dr
418,Briar Cliff,Road,Lampe ,65681,10,36.57141376,-93.47735092,418 Briar Cliff Rd
691,Briar Cliff,Road,Lampe ,65681,10,36.56894813,-93.47526353,691 Briar Cliff Rd
774,Briar Cliff,Road,Lampe ,65681,10,36.566987,-93.475307,774 Briar Cliff Rd
302,Briarwood,Drive,Lampe ,65681,10,36.568529,-93.47805,302 Briarwood Dr
302,Briarwood,Drive,Lampe ,65681,10,36.568529,-93.47805,302 Briarwood Dr
97,Indian Cove,Drive,Lampe ,65681,10,36.56649446,-93.47724052,97 Indian Cove Ln
97,Indian Cove,Drive,Lampe ,65681,10,36.56649446,-93.47724052,97 Indian Cove Ln
190,Indian Cove,Drive,Lampe ,65681,10,36.56664552,-93.47812973,190 Indian Cove
190,Indian Cove,Drive,Lampe ,65681,10,36.56664552,-93.47812973,190 Indian Cove
,PO Box,Lane,Kimberling City,65686,10,36.6303926,-93.4231488,P O Box 495
940,Alyeska Point,Road,Lampe ,65681,11,36.58048741,-93.49492364,940 Alyeska Pt 
940,Alyeska Point,Road,Lampe ,65681,11,36.58048741,-93.49492364,940 Alyeska Pt 
60,Jan,Lane,,65681,11,,,126 Owen Trail
231,Jan,Lane,Lampe ,65681,11,36.57346979,-93.44468993,231 Kingsgate 
231,Jan,Lane,Lampe ,65681,11,36.57346979,-93.44468993,231 Kingsgate 
1116,Jan,Lane,Lampe ,65681,11,36.583318,-93.444205,1116 Kingsgate 
1116,Jan,Lane,Lampe ,65681,11,36.583318,-93.444205,1116 Kingsgate 
1500,Jan,Lane,Lampe ,65681,11,36.582316,-93.442447,1500 Kingsgate
1500,Jan,Lane,Lampe ,65681,11,36.582316,-93.442447,1500 Kingsgate
247,Rollin Acres,Road,Reeds Spring,65737,11,36.66885157,-93.39745998,247 Rollin Acres
273,Jan,Lane,Lampe ,65681,12,36.57365037,-93.44431996,273 Kingsgate 
481,Jan,Lane,Lampe ,65681,12,36.57816539,-93.44025813,481 Kingsgate
481,Jan,Lane,Lampe ,65681,12,36.57816539,-93.44025813,481 Kingsgate
742,Jan,Lane,Lampe ,65681,12,36.57730328,-93.44033569,742 Kingsgate
742,Jan,Lane,Lampe ,65681,12,36.57730328,-93.44033569,742 Kingsgate
1245,Jan,Lane,Lampe ,65681,12,36.583318,-93.444205,1245 Kingsgate
1245,Jan,Lane,Lampe ,65681,12,36.583318,-93.444205,1245 Kingsgate
458,Navajo,Trail,Kimberling City,65686,12,36.6205272,-93.43450681,458 Navajo Trail
458,Navajo,Trail,Kimberling City,65686,12,36.6205272,-93.43450681,458 Navajo Trail
410,76-60 b,,Branson,65616,13,36.6555122,-93.3420415,410 John the Diver Trl
220,Cabana,Court,,65737,13,,,220 Canana Dr
90,Irish Hills,Boulevard,Kimberling City,65686,13,36.65111213,-93.44759173,90 Irish Hill Blvd
22485,Main,Street,,65737,13,,,22485 Main
111,MO H,,Lampe ,65681,13,36.5643982,-93.43930246,111 State Hwy H
111,MO H,,Lampe ,65681,13,36.5643982,-93.43930246,111 State Hwy H
320,Raspberry,Road,Reeds Spring,65737,13,36.77869051,-93.36533197,320 Raspberry
820,Tablerock,Circle,Branson,65616,13,36.62211514,-93.34296473,820 Tablerock Cir
105,turtledove,Lane,,65681,13,,,105 Turtle Dove Ln
152,Point Sixteen,Lane,Lampe ,65681,14,36.5970442,-93.50413471,152 Point 16 Lane
41,Southwood,Circle,Lampe ,65681,14,36.597575,-93.4982,41 Southwood Cir
41,Southwood,Circle,Lampe ,65681,14,36.597575,-93.4982,41 Southwood Cir
141,Southwood,Circle,Lampe ,65681,14,36.59899096,-93.49841044,141 Southwood Cir
263,Southwood,Circle,Lampe ,65681,14,36.59803857,-93.49734603,263 Southwood Cir
298,Southwood,Circle,Lampe ,65681,14,36.5985105,-93.49722235,298 Southwood Cir
142,turtledove,Lane,,65681,14,,,142 Turtle Dove Ln
142,turtledove,Lane,,65681,14,,,142 Turtle Dove Ln
157,turtledove,Lane,,65681,14,,,157 Turtle Dove Ln
157,turtledove,Lane,,65681,14,,,157 Turtle Dove Ln
455,Backwood,,Lampe ,65681,15,36.573554,-93.470758,455 Backwood 
13,Lakeshore,Drive,Kimberling City,65686,15,36.644864,-93.421919,13 A Lakeshore Dr
317,MO H,,Lampe ,65681,15,36.565784,-93.443375,317 State Hwy H
649,Norwood,Road,Lampe ,65681,15,36.59717185,-93.49975785,649 Norwood Rd
1055,Norwood,Road,Lampe ,65681,15,36.59466896,-93.50277894,1055 Norwood Rd
1055,Norwood,Road,Lampe ,65681,15,36.59466896,-93.50277894,1055 Norwood Rd
,PO Box,Lane,Kimberling City,65686,15,36.63044,-93.42259,P. O. Box 841
240,Point Sixteen,Lane,Lampe ,65681,15,36.59760562,-93.5053137,240 Point Sixteen
244,Point Sixteen,Lane,Lampe ,65681,15,36.59763781,-93.50529274,244 Point Sixteen
378,Shiloh,Lane,Kimberling City,65686,15,36.62751546,-93.44269867,378 Shiloh Ln
345,Briar Cliff,Road,Lampe ,65681,16,36.57160914,-93.47751822,345 Briar Cliff Rd
1027,MO H,,Lampe ,65681,16,36.57173317,-93.45117389,1027 State Hwy H
1027,MO H,,Lampe ,65681,16,36.57173317,-93.45117389,1027 State Hwy H
2456,Nauvoo,Road,Lampe ,65681,16,36.53745597,-93.51132971,2456 Nauvoo Rd
1228,Persimmon Hill,Lane,Lampe ,65681,16,36.53255417,-93.51604268,1228 Persimmon Ln
1228,Persimmon Hill,Lane,Lampe ,65681,16,36.53255417,-93.51604268,1228 Persimmon Ln
238,Pokeberry,Lane,Lampe ,65681,16,36.58595732,-93.42287464,238 Pokeberry
238,Pokeberry,Lane,Lampe ,65681,16,36.58595732,-93.42287464,238 Pokeberry
1829,Pokeberry,Lane,Lampe ,65681,16,36.60107352,-93.41179621,1829 Pokeberry Ln
400,Will,Road,Lampe ,65681,16,36.540638,-93.434434,160 Old Horseshoe Ridge 
179,Cactus,Lane,Branson West,65737,17,36.66937187,-93.40232219,179 Cactus Lane
1200,Everest,Road,Galena,65656,17,36.684484,-93.484053,1200 Everest Rd
284,Martin Hollow,Road,Galena,65656,17,36.7679297,-93.47991814,284 Martin Hollow Rd
3639,MO 248,,Galena,65656,17,36.81940254,-93.52029018,3639 W State Hwy 
34134,MO 413,,Galena,65656,17,36.83387488,-93.52161108,34134 State Hwy 413
34134,MO 413,,Galena,65656,17,36.83387488,-93.52161108,34134 State Hwy 413
12730,MO 76,,Cape Fair,65624,17,36.73237976,-93.57193409,12730 W. State Hwy 76
307,Olive,Street,Crane,65633,17,36.90455127,-93.56879806,307 Olive St
134,State Highway KK,,Galena,65656,17,36.82397271,-93.38491916,134 St Hwy KK
704,Tablerock,Circle,Branson,65616,17,36.6211662,-93.34447189,704 Tablerock Cir
550,August,Drive,Crane,65633,18,36.859817,-93.571473,550 Kid Run Rd
501,Jan,Lane,Lampe ,65681,18,36.57847403,-93.44033689,501 Kingsgate 
41269,MO 413,,Galena,65656,18,36.8088763,-93.4631292,41269HWY 413
220,MO AA,,Galena,65656,18,36.82327038,-93.4955863,220 State Hwy AA
401,North Hemphill,Avenue,Crane,65633,18,36.907588,-93.573769,401 N Hemphill 
79,Ollie Farm,Lane,Lampe ,65681,18,36.58145725,-93.50076178,79 Oljie Farm Ln
3636,Railey Creek,Road,Galena,65656,18,36.789077,-93.405993,3636 Railey Creek Rd
1331,Wheeler Branch,Road,Crane,65633,18,36.86155078,-93.51885213,1331 Wheeler Branch
30,Whitetail,Road,Lampe ,65681,18,36.51838959,-93.49151894,30 Whitetail Rd
540,Yocum Pond,Road,Galena,65656,18,36.74411764,-93.39907787,540 Yocum Pd Rd
1338,Blackberry,Lane,Crane,65633,19,36.90745615,-93.55299263,1338 Blackberry Ln
368,Blunk,Road,Galena,65656,19,36.80062134,-93.48069841,368 Blunk Rd
1361,Boston Mountain,Road,Crane,65633,19,36.90102817,-93.51055388,1361 Boston Mtn Rd
1284,Burr Oak,Drive,Crane,65633,19,36.8677088,-93.562924,1284 Burr Oak Dr
56,Meltons Peninsula,Road,Cape Fair,65624,19,36.72517376,-93.52298955,56 Meltons Pen 
708,MO BB,,Crane,65633,19,36.90368493,-93.56390145,708 State Hwy BB
103,North Hemphill,Avenue,Crane,65633,19,36.90505876,-93.57548827,103 N Hemphill
805,Ozark,Road,Crane,65633,19,36.92531266,-93.5241665,805 Ozark Rd
721,Paris,Street,Clever,65631,19,36.98602827,-93.44281805,721 Paris St
3344,Railey Creek,Road,Galena,65656,19,36.79441304,-93.41188337,3344 Railey Creek Rd
274,Micahs,Crossing,Reeds Spring,65737,20,36.731643,-93.387875,274 Micahs Crossing
274,Micahs,Crossing,Reeds Spring,65737,20,36.731643,-93.387875,274 Micahs Crossing
300,Micahs,Crossing,Reeds Spring,65737,20,36.73164913,-93.38810268,300 Micahs Crossing
300,Micahs,Crossing,Reeds Spring,65737,20,36.73164913,-93.38810268,300 Micahs Crossing
300,Micahs,Crossing,Reeds Spring,65737,20,36.73164913,-93.38810268,300 Micahs Crossing
349,Micahs,Crossing,Reeds Spring,65737,20,36.73133868,-93.38864161,349 Micahs Crossing
349,Micahs,Crossing,Reeds Spring,65737,20,36.73133868,-93.38864161,349 Micahs Crossing
363,Micahs,Crossing,Reeds Spring,65737,20,36.73118213,-93.38864141,363 Micahs Crossing
363,Micahs,Crossing,Reeds Spring,65737,20,36.73118213,-93.38864141,363 Micahs Crossing
374,Micahs,Crossing,Reeds Spring,65737,20,36.73127837,-93.38840813,374 Micahs Crossing
57,Eagle,Drive,Reeds Spring,65737,21,36.66211314,-93.45321465,57 Eagle Dr
